time,North_Dakota,Colorado,Wisconsin,California,South_Dakota,New_Jersey,Louisiana,Arkansas,Minnesota,Virginia,Missouri,Michigan,South_Carolina,Utah,Delaware,West_Virginia,Iowa,Idaho,Illinois,Florida,Kansas,Kentucky,New_Mexico,Indiana,Montana,New_York,Nebraska,Washington,Connecticut,Maryland,Alabama,Texas,Georgia,New_Hampshire,Tennessee,Ohio,Mississippi,Nevada,Vermont,Rhode_Island,Oklahoma,Massachusetts,Oregon,Maine,North_Carolina,Arizona,Pennsylvania,Wyoming
1972-01-01,1.760427854192857,0.5598865761743265,0.3577041918646321,0.027067500013737946,2.905738805985073,0.1574863166978072,0.2504929193765702,0.5877157324418996,0.3028661270078522,0.13994543420950367,0.2261305984828406,0.1349623966699354,0.2478150515646987,0.58835601852036,1.262185902602842,0.6578829848117631,0.5346542655451113,0.900737038777603,0.1013811024493899,0.11877747206954223,0.6277588174227017,0.3056676056576459,1.0827944079620542,0.16679504822143823,1.7924719782346108,0.07874321536372539,1.5460568324636923,0.29250213881052683,0.41613538984180815,0.1845044900203673,0.21632026753703257,0.06438039904188714,0.0938453041773078,1.5003200007081583,0.21515978372054495,0.10355259332724098,0.33150898532425815,1.0801435254329783,2.2864645806961685,0.9240432848245438,0.5450537280237153,0.3561044719890429,0.30802355624943184,3.7092244068146343,0.11204376244160166,0.4126241886098829,0.1005025286748282,4.8357547032627055
1972-01-08,2.022762084771939,0.5571629178976172,0.3497992397165781,0.030925485797025587,2.623458470230868,0.15163716164917102,0.28317171829645316,0.6876043911561143,0.3686347169006164,0.18487900000944535,0.2615190529176742,0.1288479387634938,0.2920198981718778,0.5031344108341592,1.2976775134735734,0.8377428006519549,0.5868778195136835,0.7754922770627674,0.10831671069009893,0.13695717852040307,0.6346126019714048,0.37707925542913756,1.3099572314209484,0.19588568854442773,1.841346599923622,0.08222062582391866,1.4582549770274023,0.34770806967137835,0.36788799451986076,0.2093074357078148,0.28828130417065084,0.0740404644956704,0.1646925392062486,1.416217569408837,0.26774798714627535,0.11621377562088811,0.395022512393076,0.800105304168869,2.419318427028919,0.9111297010418331,0.6174116222950603,0.3408584275349809,0.41334180078838173,3.3693481074775216,0.1499157936590237,0.48049949212505993,0.10920847292062787,4.400422054077604
1972-01-15,2.20556950879362,0.5784530797583763,0.33185968435091096,0.036285819688838865,2.4121748904717815,0.1389442076944549,0.30166968505918357,0.7827631864911071,0.42929747839208665,0.22256743713669117,0.29669610137106206,0.11412642622125486,0.32703774201027724,0.41391491231460154,1.3188179085055187,1.0352856205749263,0.5856496331015717,0.6829130966532605,0.10765462012223319,0.15246051628489862,0.6295551874072257,0.44405334737119184,1.4615667689537146,0.21758578550403188,1.7580167210141857,0.07798377716752469,1.371569188629371,0.3988831972686846,0.310816526417997,0.2232277950577063,0.35732267069817536,0.08958731876638087,0.23620839190493634,1.3672499785232712,0.31298850254305705,0.12336999384144905,0.48249922880765744,1.181870631764504,2.44420537379815,0.885775400104785,0.6296263376737423,0.29869928273480184,0.49780763129909805,2.8387110682633363,0.18387124620818948,0.5353742293106853,0.1097700357477846,4.048602284422667
1972-01-22,2.3349276340674976,0.5512651542289657,0.2912736584765488,0.04070475733864182,2.0899303154283935,0.11974326868309024,0.3074868858672604,0.8168928339073539,0.4430065181192124,0.2524373485713728,0.3154448097701995,0.09872694142637603,0.3484319344727125,0.3575922547645975,1.316247333714014,1.2151389782524238,0.546150663915506,0.6110239995387832,0.0997342708803506,0.16211923278141974,0.6017107117967467,0.48153280840430773,1.5455723080045385,0.22553470188242214,1.6365212251358088,0.06989663401245078,1.2084642131704715,0.41551136748972883,0.2681158836005664,0.22045933156806072,0.40540966636565334,0.10066435646623105,0.2980071131414429,1.2794005803232145,0.3393851262054409,0.1211890365694256,0.561464221754203,1.0182940755034855,2.4012099789959462,0.8781724017384671,0.5950845333321044,0.2524340047779995,0.5742578407135782,2.2762164510038194,0.21071030941123847,0.6064018160338202,0.1025410034255354,3.6488110117703165
1972-01-29,2.3628607162409976,0.523441342987297,0.23944263270967747,0.041713258046685533,1.781904246707701,0.10142563032208529,0.302357889945513,0.808728287799471,0.4200377846854182,0.2618185700252609,0.30887659986503235,0.08374910971095968,0.35985592706202657,0.3177813283505858,1.2844533510848064,1.2956039857435364,0.48221723941525624,0.5264943339488639,0.08773720713388941,0.1657625755017284,0.569145805451131,0.4850963265444742,1.5231552434987616,0.21715928031539247,1.4478255603966832,0.0628045757081429,1.036284611536156,0.37132002471324543,0.23931401545400205,0.20464902968273524,0.42796237525893643,0.10464443288499321,0.3329468616828138,1.1790024093947067,0.34515488492851315,0.11144987746026958,0.5943744061296387,1.3283053814208552,2.2695080138380797,0.8898658113908103,0.5338440838113397,0.2053288274182735,0.6062221937591036,1.7434168600788336,0.2333234634399532,0.6576798385304026,0.0905368723595835,3.2812761577600527
1972-02-05,2.27921959807756,0.48146576808102903,0.18363657612068762,0.03908279653999593,1.440117260531997,0.08673931352407048,0.28810402039325905,0.7504135590714459,0.36173641734671097,0.2508187677398502,0.28276259564366607,0.06847149156770935,0.3556371156570342,0.28892713485901755,1.2147248441540033,1.278931006052543,0.41396647611695925,0.46563926348513646,0.07463790316043227,0.1598318315738857,0.513901631450396,0.4482689965826798,1.4110488059496842,0.1992030782025944,1.2414091243293937,0.056032572185049236,0.857820092863486,0.3063996467484459,0.22704870336527758,0.18264823377957404,0.4233580809343995,0.10110620865950365,0.33605731479334194,1.1098224580719862,0.33544371209191576,0.0968417778826241,0.5892188421391025,1.1629421930102724,2.1048149948950137,0.8997502428010224,0.45163696624755095,0.17039358611484431,0.5900900788467691,1.3161302421207284,0.24484742898515657,0.6699503341417259,0.07774761103343791,2.6802756409333255
1972-02-12,2.096310874806012,0.42491256654190585,0.1344602134890114,0.03396934852485859,1.1061635219094292,0.07792116897328438,0.2637564475179966,0.6463210631095265,0.2881720692328336,0.226685054442637,0.24142760439024413,0.05712514812299118,0.3326049141634458,0.25664807420014885,1.1253870478824317,1.1760034996135558,0.34030474792362436,0.3999580224574543,0.06311963305650774,0.14708481359170356,0.4423944962892639,0.39114508696839223,1.2175834440060123,0.17372538627060244,1.0485644966713223,0.049853443883868545,0.6748965827780496,0.24074683399113223,0.2223553606900368,0.15599638144320577,0.3913277287610996,0.0906080588185629,0.30954147916638464,1.0193378790278564,0.30956297998487586,0.07990999545231788,0.5392781721508264,0.8538745333147196,1.9481553870913344,0.9147804640974646,0.37064737489011806,0.15407282542355477,0.5222800260933863,0.9655278513937269,0.2419084366828612,0.6207080707232183,0.06715734046380142,2.1196189665602634
1972-02-19,1.8688934105524284,0.35001041290811796,0.09841026591477042,0.027565816455843557,0.8430716896001378,0.0724468770996047,0.23345901756048149,0.5256960711947547,0.2140742331012454,0.1939326008524669,0.1939629176733138,0.04841668062476759,0.3035086669057108,0.2368304078112228,1.0318236777339151,1.0023153018358517,0.280479232085448,0.3535291709380275,0.05451878558720931,0.13050917804142337,0.37169059674962257,0.3211616866513807,0.9427130388771577,0.1450768751814005,0.8933628769360071,0.04463855474550972,0.5217401161861291,0.1958554096024999,0.213465954211715,0.1303323580401837,0.3475880286305095,0.07745149110576835,0.2629504840931691,0.894817504551797,0.2765856352932439,0.0650856111121679,0.4670613602409484,0.8481207423811905,1.7882377213368685,0.9307559889510577,0.30446753462884,0.15451284462205028,0.4375359027081799,0.6843147688411161,0.22956387918416282,0.5253620872083664,0.058646360154641024,1.641702902771398
1972-02-26,1.6192874488287476,0.26880582350819965,0.07791683337500678,0.02269652824608406,0.6385944683397305,0.06819233466311271,0.20209403414024024,0.4122495361218495,0.15568392086394714,0.1593476606101089,0.15225690561101424,0.04394585015127003,0.2709261915707543,0.22342529533156025,0.9511682903911917,0.8002402864938565,0.24172636513992854,0.3416936171123155,0.0481201206150493,0.11683026710692977,0.3131828851804886,0.2577445897255021,0.6735102060137949,0.1204933331809343,0.7823298056472352,0.04065925325589757,0.4071436882623204,0.16926596982113085,0.2025608916928614,0.10942508894650976,0.29457318262532506,0.06559768957180827,0.20835687964037083,0.7804351993421723,0.23977132907474707,0.05577027562933463,0.39210938888801355,0.22797343698373934,1.6145076709063704,0.9436783721062783,0.24943106675318422,0.16374213884539274,0.349364460797124,0.5307557403035791,0.2089980608446592,0.4264707525704132,0.05125394971833394,1.279039341231901
1972-03-04,1.3603308665754024,0.20467442401825603,0.07230312489885964,0.020378559626548318,0.5064809239346932,0.06337673469169666,0.17206842754053464,0.3227006188279635,0.11678155017015465,0.129856483668824,0.12627666914016034,0.04308678669872186,0.24341713622713806,0.2110611055458434,0.8785690867381433,0.6200480291470499,0.21931591657252564,0.35744447349160036,0.04354013556943133,0.10280035458060795,0.26721578964262255,0.20587009571200526,0.4629450876531787,0.10180044144957563,0.7311329837263495,0.03765916030098389,0.34166621652999624,0.156199008527605,0.19551760425120612,0.09556007232257321,0.24287642243400187,0.05586186780696677,0.1602115029764077,0.6602683655037668,0.2075796818287739,0.050849421558872496,0.3315892584949828,0.43718536286297044,1.4454285196758543,0.9494628245796946,0.20225139919582252,0.17189519696600813,0.2636204728040895,0.4457749090451788,0.181296398615495,0.34539570103218736,0.044953855084121586,0.9750464894658435
